"","Category","Description","Nutrient_Data_Bank_Number","Data_Beta_Carotene","Data_Carbohydrate","Data_Choline","Data_Fiber","Data_Lutein_and_Zeaxanthin","Data_Niacin","Data_Protein","Data_Riboflavin","Data_Selenium","Data_Sugar_Total","Data_Thiamin","Data_Water","Data_Fat_Monosaturated_Fat","Data_Fat_Polysaturated_Fat","Data_Fat_Saturated_Fat","Data_Fat_Total_Lipid","Data_Major_Minerals_Calcium","Data_Major_Minerals_Copper","Data_Major_Minerals_Iron","Data_Major_Minerals_Magnesium","Data_Major_Minerals_Phosphorus","Data_Major_Minerals_Potassium","Data_Major_Minerals_Sodium","Data_Major_Minerals_Zinc","Data_Vitamins_Vitamin_A___RAE","Data_Vitamins_Vitamin_B6","Data_Vitamins_Vitamin_E","Data_Vitamins_Vitamin_K"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
